window,parent,child,parent weight,child weight
365d,4227253,4115260,0.102189214723682,0.0143152007132093
365d,4227253,193631,0.102189214723682,0.00643573924977457
365d,4227253,4101212,0.102189214723682,0.00408632484653412
365d,4227253,4054836,0.102189214723682,0.00214106950480149
365d,4227253,135772,0.102189214723682,0.000422292014016242
365d,4212577,141960,0.118208538753673,0.096062191217601
365d,4212577,4083787,0.118208538753673,0.048737329867255
365d,4212577,4028076,0.118208538753673,0.0131652044275873
365d,4212577,36715556,0.118208538753673,0.00531617647356108
365d,4212577,4104522,0.118208538753673,0.000581437016877477
365d,4212577,36715555,0.118208538753673,7.38568900497844e-05
365d,4212577,4280590,0.118208538753673,1.18665406053702e-05
365d,4212577,4159875,0.118208538753673,3.62205454524381e-06
365d,4180628,4028387,0.447361761940347,0.0772782636482265
365d,4180628,320136,0.447361761940347,0.061472302677421
365d,4180628,4244662,0.447361761940347,0.0580790288162673
365d,4180628,4201745,0.447361761940347,0.0555185647368538
365d,4180628,134057,0.447361761940347,0.054833677808937
365d,4180628,4171379,0.447361761940347,0.0488300790290908
365d,4180628,4176644,0.447361761940347,0.0301458124783868
365d,4180628,4134440,0.447361761940347,0.0245844791462934
365d,4180628,440142,0.447361761940347,0.0181767103509796
365d,4180628,31821,0.447361761940347,0.0171245449584061
365d,4180628,376337,0.447361761940347,0.0136349532674997
365d,4180628,4318379,0.447361761940347,0.0131652044275873
365d,4180628,77030,0.447361761940347,0.00654530179668058
365d,4180628,36715556,0.447361761940347,0.00531617647356108
365d,4180628,440363,0.447361761940347,0.00459436268010676
365d,4180628,317248,0.447361761940347,0.00365402268167913
365d,4180628,4212886,0.447361761940347,0.00308690067157903
365d,4180628,4318377,0.447361761940347,0.00258231633662676
365d,4180628,443720,0.447361761940347,0.00190917398404526
365d,4180628,4154700,0.447361761940347,0.00172499312065556
365d,4180628,4104522,0.447361761940347,0.000581437016877477
365d,4180628,4044013,0.447361761940347,0.0004284186697903
365d,4180628,4180158,0.447361761940347,0.000117032268717965
365d,4180628,432739,0.447361761940347,0.000113969986238805
365d,4180628,4154574,0.447361761940347,8.58838705252002e-05
365d,4180628,36715555,0.447361761940347,7.38568900497844e-05
365d,4180169,4181063,0.102233461990387,0.0869020642084223
365d,4180169,4181187,0.102233461990387,0.032160476332203
365d,4180169,4181064,0.102233461990387,0.00612562012816955
365d,4180169,133569,0.102233461990387,0.00150267096832155
